tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
aramco.,6,6,6,6,65,65,0
xn--55qw42g.,5,5,5,0,0,0,5
xn--mgbt3dhd.,4,4,4,4,61,61,0
nissay.,4,4,4,4,22,22,0
party.,6,6,6,6,69,69,0
cm.,6,6,6,0,0,0,6
casino.,4,4,4,4,34,34,0
ooo.,4,4,4,4,22,22,0
xn--fiq64b.,9,9,9,2,9,6,6
liaison.,4,4,4,4,22,22,0
casa.,8,8,8,8,50,50,0
pid.,4,4,4,4,29,29,0
kosher.,4,4,4,4,35,35,0
sucks.,4,4,4,4,34,34,0
asia.,6,6,6,6,46,46,0
save.,6,6,6,6,69,69,0
today.,4,4,4,4,34,34,0
bms.,4,4,4,4,22,22,0
trv.,4,4,4,4,31,31,0
porn.,6,6,6,6,47,47,0
lundbeck.,4,4,4,4,22,22,0
durban.,3,3,3,1,24,24,2
au.,8,8,8,6,40,40,2
imamat.,4,4,4,4,33,33,0
accountants.,4,4,4,4,34,34,0
lamer.,4,4,4,4,35,35,0
seven.,4,4,4,4,34,34,0
vote.,4,4,4,4,33,33,0
ong.,6,6,6,6,47,47,0
aig.,6,6,6,6,65,65,0
bbva.,4,4,4,4,22,22,0
me.,5,5,5,5,40,40,0
gallup.,4,4,4,4,33,33,0
gl.,4,4,4,3,49,49,1
gold.,4,4,4,4,34,34,0
bugatti.,4,4,4,4,36,36,0
aarp.,4,4,4,4,22,22,0
report.,4,4,4,4,34,34,0
sj.,3,3,3,0,0,0,3
rest.,4,4,4,4,29,29,0
vig.,4,4,4,4,34,34,0
landrover.,4,4,4,4,22,22,0
asda.,4,4,4,4,22,22,0
courses.,4,4,4,4,34,34,0
rugby.,4,4,4,4,29,29,0
yandex.,6,6,6,6,65,65,0
glass.,4,4,4,4,34,34,0
extraspace.,4,4,4,4,32,32,0
wedding.,8,8,8,8,50,50,0
mcdonalds.,6,6,6,6,65,65,0
ne.,4,4,4,0,0,0,4
seek.,4,4,4,4,34,34,0
microsoft.,4,4,4,4,22,22,0
mls.,4,4,4,4,22,22,0
company.,4,4,4,4,34,34,0
equipment.,4,4,4,4,34,34,0
jm.,5,5,5,0,0,0,5
yodobashi.,4,4,4,4,34,34,0
clinique.,4,4,4,4,35,35,0
ni.,7,7,7,0,0,0,7
kg.,2,2,2,0,0,0,2
cymru.,8,8,8,8,50,50,0
iveco.,4,4,4,4,37,37,0
movie.,4,4,4,4,34,34,0
allstate.,4,4,4,4,34,34,0
er.,3,3,3,0,0,0,3
tn.,6,6,6,1,35,35,5
kpmg.,6,6,6,6,65,65,0
forum.,4,4,4,4,29,29,0
academy.,4,4,4,4,34,34,0
br.,6,6,6,4,16,16,2
xn--90ais.,7,7,7,0,0,0,7
off.,4,4,4,4,22,22,0
abbott.,4,4,4,4,35,35,0
bbc.,8,8,8,8,50,50,0
starhub.,4,4,4,4,34,34,0
supply.,4,4,4,4,34,34,0
raid.,4,4,4,4,22,22,0
cal.,5,5,5,5,26,26,0
tel.,8,8,8,7,93,93,1
jewelry.,4,4,4,4,34,34,0
la.,4,4,4,2,30,15,0
goldpoint.,4,4,4,4,34,34,0
xn--9et52u.,9,9,9,2,9,6,6
lgbt.,4,4,4,4,35,35,0
vc.,6,6,6,6,47,47,0
leclerc.,3,3,3,2,62,62,1
ibm.,4,4,4,4,34,34,0
sapo.,4,4,4,1,10,5,2
voyage.,4,4,4,4,34,34,0
buzz.,6,6,6,6,65,65,0
win.,6,6,6,6,65,65,0
xn--ygbi2ammx.,4,4,4,0,0,0,4
airforce.,4,4,4,4,34,34,0
northwesternmutual.,6,6,6,6,65,65,0
food.,4,4,4,4,22,22,0
cz.,4,4,4,2,8,8,2
ua.,5,5,5,4,67,67,1
aaa.,6,6,6,6,65,65,0
plumbing.,4,4,4,4,34,34,0
juegos.,5,5,5,5,28,28,0
school.,4,4,4,4,34,34,0
xn--80asehdb.,4,4,4,2,18,9,0
creditcard.,4,4,4,4,34,34,0
mtn.,4,4,4,4,34,34,0
mx.,6,6,6,4,52,52,2
mitsubishi.,4,4,4,4,34,34,0
lupin.,4,4,4,4,22,22,0
zw.,4,4,4,0,0,0,4
loft.,6,6,6,6,65,65,0
srl.,4,4,4,4,35,35,0
winners.,6,6,6,6,65,65,0
college.,4,4,4,4,29,29,0
net.,13,13,13,13,98,98,0
xn--80ao21a.,2,2,2,0,0,0,2
boots.,4,4,4,4,34,34,0
xn--mgba3a4f16a.,2,2,2,0,0,0,2
android.,5,5,5,5,26,26,0
suzuki.,4,4,4,4,34,34,0
wtc.,4,4,4,4,34,34,0
shriram.,4,4,4,4,34,34,0
gent.,4,4,4,1,10,5,2
cl.,6,6,6,6,76,76,0
neustar.,6,6,6,6,69,69,0
im.,4,4,4,0,0,0,4
politie.,5,5,5,0,0,0,5
sony.,4,4,4,4,34,34,0
bingo.,4,4,4,4,34,34,0
vet.,4,4,4,4,34,34,0
fishing.,8,8,8,8,50,50,0
genting.,4,4,4,4,22,22,0
at.,8,8,8,4,41,41,4
day.,5,5,5,5,26,26,0
is.,6,6,6,3,63,63,3
mv.,3,3,3,1,35,35,2
stada.,4,4,4,4,35,35,0
md.,6,6,6,0,0,0,6
xn--clchc0ea0b2g2a9gcd.,5,5,5,3,62,62,2
diy.,4,4,4,4,22,22,0
skin.,4,4,4,4,22,22,0
dubai.,4,4,4,4,34,34,0
kiwi.,2,2,2,2,9,9,0
xn--80adxhks.,4,4,4,2,9,9,2
hangout.,5,5,5,5,26,26,0
mw.,5,5,5,0,0,0,5
xn--mgbai9azgqp6j.,3,3,3,0,0,0,3
sm.,4,4,4,1,37,37,3
camera.,4,4,4,4,34,34,0
watches.,6,6,6,6,69,69,0
caravan.,6,6,6,6,65,65,0
homesense.,6,6,6,6,65,65,0
intel.,6,6,6,6,65,65,0
gy.,6,6,6,2,39,39,4
qvc.,6,6,6,6,65,65,0
everbank.,6,6,6,6,65,65,0
xn--tckwe.,4,4,4,4,22,22,0
tdk.,6,6,6,6,65,65,0
hermes.,4,4,4,4,35,35,0
barclays.,4,4,4,4,34,34,0
swiftcover.,6,6,6,6,65,65,0
ruhr.,4,4,4,2,18,9,0
latrobe.,4,4,4,4,34,34,0
nz.,7,7,7,3,32,32,4
iwc.,6,6,6,6,65,65,0
feedback.,4,4,4,4,29,29,0
creditunion.,4,4,4,4,33,33,0
channel.,5,5,5,5,26,26,0
oracle.,4,4,4,4,22,22,0
dog.,4,4,4,4,34,34,0
hitachi.,4,4,4,4,34,34,0
zero.,6,6,6,6,65,65,0
mma.,3,3,3,2,62,62,1
corsica.,3,3,3,2,62,62,1
to.,5,5,5,0,0,0,5
fitness.,4,4,4,4,34,34,0
woodside.,4,4,4,4,34,34,0
alfaromeo.,4,4,4,4,33,33,0
hsbc.,6,6,6,6,65,65,0
rogers.,4,4,4,4,33,33,0
xn--lgbbat1ad8j.,2,2,2,0,0,0,2
wanggou.,6,6,6,6,65,65,0
ericsson.,4,4,4,4,22,22,0
circle.,6,6,6,6,65,65,0
gg.,5,5,5,2,59,59,3
do.,8,8,8,1,4,4,7
juniper.,4,4,4,4,22,22,0
tattoo.,4,4,4,4,23,23,0
pics.,4,4,4,4,23,23,0
ollo.,4,4,4,4,35,35,0
cam.,4,4,4,2,96,48,0
xn--c2br7g.,4,4,4,4,22,22,0
teva.,6,6,6,6,65,65,0
sarl.,4,4,4,4,34,34,0
fast.,6,6,6,6,65,65,0
lb.,4,4,4,0,0,0,4
vg.,4,4,4,3,49,49,1
analytics.,6,6,6,6,65,65,0
sakura.,4,4,4,1,8,4,2
xn--gecrj9c.,8,8,8,6,46,46,2
xn--mgbab2bd.,4,4,4,2,18,9,0
gives.,4,4,4,4,34,34,0
gucci.,6,6,6,6,65,65,0
museum.,5,5,5,3,13,13,2
gbiz.,5,5,5,5,26,26,0
versicherung.,3,3,3,2,10,10,1
bauhaus.,4,4,4,2,18,9,0
condos.,4,4,4,4,34,34,0
xbox.,4,4,4,4,22,22,0
delivery.,4,4,4,4,34,34,0
nra.,4,4,4,4,35,35,0
homedepot.,4,4,4,4,35,35,0
calvinklein.,6,6,6,6,65,65,0
green.,4,4,4,4,35,35,0
playstation.,4,4,4,4,34,34,0
anz.,4,4,4,4,34,34,0
run.,4,4,4,4,34,34,0
bom.,6,6,6,4,16,16,2
lipsy.,4,4,4,4,22,22,0
pk.,4,4,4,0,0,0,4
sew.,4,4,4,4,35,35,0
marketing.,4,4,4,4,34,34,0
sky.,4,4,4,4,22,22,0
xn--90ae.,6,6,6,2,39,39,4
men.,4,4,4,4,34,34,0
hr.,3,3,3,2,39,39,1
new.,5,5,5,5,26,26,0
om.,6,6,6,4,34,34,2
cfa.,4,4,4,4,22,22,0
vivo.,6,6,6,6,69,69,0
insurance.,4,4,4,4,22,22,0
afamilycompany.,4,4,4,4,22,22,0
solutions.,4,4,4,4,34,34,0
il.,9,9,9,3,35,35,6
estate.,4,4,4,4,34,34,0
xn--4gbrim.,4,4,4,4,33,33,0
athleta.,6,6,6,6,65,65,0
lighting.,4,4,4,4,34,34,0
shiksha.,4,4,4,4,35,35,0
co.,6,6,6,6,55,55,0
financial.,4,4,4,4,34,34,0
zone.,4,4,4,4,34,34,0
nu.,3,3,3,2,28,28,1
partners.,4,4,4,4,34,34,0
aquarelle.,3,3,3,2,62,62,1
shouji.,4,4,4,3,9,9,1
loans.,4,4,4,4,34,34,0
discover.,6,6,6,6,65,65,0
pet.,4,4,4,4,32,32,0
ir.,4,4,4,0,0,0,4
scor.,4,4,4,4,34,34,0
phone.,4,4,4,4,35,35,0
xn--3e0b707e.,6,6,6,0,0,0,6
mu.,4,4,4,2,40,40,2
rexroth.,4,4,4,4,22,22,0
berlin.,3,3,3,2,10,10,1
mc.,3,3,3,0,0,0,3
sfr.,4,4,4,1,10,5,2
blanco.,4,4,4,4,22,22,0
money.,4,4,4,4,34,34,0
deal.,6,6,6,6,65,65,0
republican.,4,4,4,4,34,34,0
statoil.,4,4,4,4,22,22,0
movistar.,4,4,4,2,18,9,0
dot.,4,4,4,4,34,34,0
voting.,3,3,3,2,10,10,1
cooking.,8,8,8,8,50,50,0
wf.,5,5,5,3,66,66,2
onyourside.,4,4,4,4,22,22,0
.,13,13,13,11,255,255,2
dell.,6,6,6,6,65,65,0
sl.,2,2,2,0,0,0,2
ai.,3,3,3,0,0,0,3
sncf.,3,3,3,2,62,62,1
fido.,4,4,4,4,33,33,0
gn.,4,4,4,0,0,0,4
poker.,4,4,4,4,33,33,0
kinder.,6,6,6,6,65,65,0
kw.,6,6,6,1,4,4,5
mint.,6,6,6,6,65,65,0
church.,4,4,4,4,34,34,0
bing.,4,4,4,4,22,22,0
fr.,5,5,5,3,66,66,2
passagens.,6,6,6,6,65,65,0
xn--mgba3a3ejt.,6,6,6,6,65,65,0
comsec.,4,4,4,4,22,22,0
faith.,6,6,6,6,65,65,0
yamaxun.,6,6,6,6,65,65,0
pub.,4,4,4,4,34,34,0
futbol.,4,4,4,4,34,34,0
ki.,4,4,4,4,70,70,0
bestbuy.,4,4,4,4,34,34,0
xn--p1ai.,5,5,5,0,0,0,5
guge.,5,5,5,5,26,26,0
meet.,5,5,5,5,26,26,0
basketball.,4,4,4,4,29,29,0
dad.,5,5,5,5,26,26,0
camp.,4,4,4,4,34,34,0
banamex.,6,6,6,6,65,65,0
tjmaxx.,6,6,6,6,65,65,0
th.,6,6,6,1,22,22,5
coach.,4,4,4,4,34,34,0
expert.,4,4,4,4,34,34,0
uno.,6,6,6,6,65,65,0
tz.,7,7,7,3,43,43,4
xn--30rr7y.,9,9,9,2,9,6,6
xn--nqv7fs00ema.,4,4,4,4,35,35,0
xn--qcka1pmc.,5,5,5,5,26,26,0
paris.,4,4,4,3,68,68,1
yahoo.,6,6,6,6,65,65,0
yun.,4,4,4,3,9,9,1
cool.,4,4,4,4,34,34,0
pamperedchef.,6,6,6,6,65,65,0
gov.,4,4,4,2,10,10,2
chintai.,6,6,6,6,65,65,0
band.,4,4,4,4,34,34,0
lc.,6,6,6,6,47,47,0
recipes.,4,4,4,4,34,34,0
office.,6,6,6,6,65,65,0
ninja.,4,4,4,4,34,34,0
ye.,4,4,4,0,0,0,4
nhk.,4,4,4,4,34,34,0
arpa.,12,12,12,10,219,219,2
xn--j6w193g.,8,8,8,2,59,59,6
country.,4,4,4,4,63,63,0
prudential.,6,6,6,6,65,65,0
xn--czr694b.,9,9,9,2,9,6,6
bn.,4,4,4,2,57,57,2
promo.,4,4,4,4,33,33,0
moi.,6,6,6,6,65,65,0
stcgroup.,4,4,4,4,29,29,0
pl.,8,8,8,2,32,32,6
showtime.,4,4,4,4,36,36,0
meo.,4,4,4,1,10,5,2
gmx.,4,4,4,2,18,9,0
ferrari.,4,4,4,4,33,33,0
symantec.,4,4,4,4,22,22,0
origins.,4,4,4,4,35,35,0
ricoh.,4,4,4,4,34,34,0
club.,6,6,6,6,65,65,0
cu.,6,6,6,0,0,0,6
ril.,4,4,4,4,34,34,0
firestone.,4,4,4,4,34,34,0
wang.,9,9,9,2,9,6,6
americanfamily.,4,4,4,4,22,22,0
biz.,6,6,6,6,52,52,0
total.,3,3,3,2,62,62,1
cn.,6,6,6,4,17,17,2
fo.,4,4,4,1,35,35,3
navy.,4,4,4,4,34,34,0
university.,4,4,4,4,34,34,0
info.,6,6,6,6,45,45,0
healthcare.,4,4,4,4,34,34,0
gripe.,4,4,4,4,34,34,0
clinic.,4,4,4,4,34,34,0
tci.,4,4,4,4,61,61,0
nikon.,4,4,4,4,22,22,0
photography.,4,4,4,4,34,34,0
xn--flw351e.,5,5,5,5,26,26,0
az.,3,3,3,1,6,6,2
mtr.,4,4,4,0,0,0,4
grainger.,6,6,6,6,65,65,0
alstom.,4,4,4,2,18,9,0
systems.,4,4,4,4,34,34,0
bid.,6,6,6,6,65,65,0
iq.,5,5,5,4,57,57,1
mt.,6,6,6,2,39,39,4
xn--mgbpl2fh.,2,2,2,1,35,35,1
aetna.,6,6,6,6,65,65,0
build.,4,4,4,4,34,34,0
consulting.,4,4,4,4,34,34,0
zippo.,6,6,6,6,65,65,0
cipriani.,4,4,4,4,33,33,0
de.,6,6,6,3,31,31,3
mango.,4,4,4,2,18,9,0
java.,4,4,4,4,22,22,0
so.,2,2,2,1,35,35,1
philips.,4,4,4,4,34,34,0
pay.,6,6,6,6,69,69,0
lol.,4,4,4,4,23,23,0
akdn.,4,4,4,4,33,33,0
rehab.,4,4,4,4,34,34,0
bloomberg.,4,4,4,4,22,22,0
joburg.,3,3,3,1,24,24,2
pizza.,4,4,4,4,34,34,0
photos.,4,4,4,4,34,34,0
makeup.,4,4,4,4,22,22,0
brother.,4,4,4,4,34,34,0
xn--estv75g.,4,4,4,4,36,36,0
xn--mk1bu44c.,4,4,4,4,22,22,0
song.,6,6,6,6,65,65,0
pwc.,4,4,4,4,35,35,0
volkswagen.,4,4,4,4,36,36,0
bnl.,4,4,4,4,35,35,0
eurovision.,4,4,4,2,18,9,0
duns.,6,6,6,6,65,65,0
express.,4,4,4,4,34,34,0
virgin.,4,4,4,4,34,34,0
xn--l1acc.,3,3,3,0,0,0,3
xn--kpu716f.,6,6,6,6,65,65,0
kh.,4,4,4,0,0,0,4
xn--fiqz9s.,5,5,5,4,12,12,1
aco.,4,4,4,4,33,33,0
crown.,4,4,4,4,22,22,0
reisen.,4,4,4,4,34,34,0
bnpparibas.,4,4,4,4,35,35,0
lpl.,4,4,4,1,10,5,2
tech.,4,4,4,4,29,29,0
reviews.,4,4,4,4,34,34,0
pictures.,4,4,4,4,34,34,0
lr.,3,3,3,0,0,0,3
spiegel.,4,4,4,2,96,48,0
xn--g2xx48c.,6,6,6,6,69,69,0
gu.,4,4,4,0,0,0,4
jmp.,6,6,6,6,65,65,0
lexus.,4,4,4,4,34,34,0
cloud.,4,4,4,4,34,34,0
ro.,6,6,6,1,4,4,5
prime.,6,6,6,6,65,65,0
auto.,4,4,4,4,23,23,0
theater.,4,4,4,4,34,34,0
ski.,4,4,4,4,35,35,0
mil.,6,6,6,0,0,0,6
xihuan.,4,4,4,3,9,9,1
best.,6,6,6,6,65,65,0
piaget.,6,6,6,6,65,65,0
ve.,7,7,7,1,4,4,6
scjohnson.,4,4,4,4,22,22,0
software.,4,4,4,4,34,34,0
group.,4,4,4,4,34,34,0
rodeo.,8,8,8,8,50,50,0
koeln.,4,4,4,2,18,9,0
hair.,4,4,4,4,22,22,0
kpn.,4,4,4,1,10,5,2
weir.,4,4,4,4,22,22,0
metlife.,4,4,4,4,35,35,0
infiniti.,4,4,4,4,34,34,0
bo.,4,4,4,1,35,35,3
health.,6,6,6,6,65,65,0
target.,6,6,6,6,65,65,0
taipei.,6,6,6,6,65,65,0
apartments.,4,4,4,4,34,34,0
tatamotors.,4,4,4,4,22,22,0
ht.,5,5,5,3,50,50,2
tvs.,4,4,4,4,34,34,0
tickets.,4,4,4,4,29,29,0
rent.,4,4,4,4,29,29,0
pm.,5,5,5,3,66,66,2
xn--w4r85el8fhu5dnra.,4,4,4,4,22,22,0
jnj.,6,6,6,6,65,65,0
enterprises.,4,4,4,4,34,34,0
here.,5,5,5,5,26,26,0
management.,4,4,4,4,34,34,0
hughes.,4,4,4,4,33,33,0
case.,4,4,4,4,37,37,0
beer.,8,8,8,8,50,50,0
rio.,6,6,6,4,16,16,2
skype.,6,6,6,6,65,65,0
review.,6,6,6,6,69,69,0
hyatt.,6,6,6,6,65,65,0
ca.,4,4,4,4,54,54,0
christmas.,4,4,4,4,23,23,0
uz.,7,7,7,0,0,0,7
zappos.,6,6,6,6,65,65,0
chloe.,6,6,6,6,65,65,0
film.,4,4,4,4,34,34,0
xyz.,4,4,4,4,29,29,0
locker.,4,4,4,4,35,35,0
americanexpress.,6,6,6,6,65,65,0
htc.,6,6,6,6,65,65,0
sn.,5,5,5,0,0,0,5
ao.,6,6,6,0,0,0,6
jaguar.,4,4,4,4,22,22,0
bcg.,4,4,4,4,34,34,0
clothing.,4,4,4,4,34,34,0
ma.,7,7,7,1,4,4,6
nec.,4,4,4,4,34,34,0
tjx.,6,6,6,6,65,65,0
natura.,4,4,4,4,35,35,0
bmw.,4,4,4,2,96,48,0
pioneer.,4,4,4,4,34,34,0
dev.,5,5,5,5,26,26,0
baseball.,6,6,6,6,65,65,0
africa.,3,3,3,1,24,24,2
gh.,4,4,4,0,0,0,4
ifm.,4,4,4,2,18,9,0
ky.,4,4,4,4,23,23,0
commbank.,4,4,4,4,34,34,0
forex.,4,4,4,4,22,22,0
redumbrella.,4,4,4,4,31,31,0
emerck.,4,4,4,4,35,35,0
secure.,6,6,6,6,69,69,0
pin.,6,6,6,6,69,69,0
xn--mgbb9fbpob.,6,6,6,6,69,69,0
productions.,4,4,4,4,34,34,0
avianca.,4,4,4,4,35,35,0
taobao.,6,6,6,6,65,65,0
no.,6,6,6,3,42,42,3
fish.,4,4,4,4,34,34,0
tj.,4,4,4,0,0,0,4
pharmacy.,6,6,6,6,65,65,0
mom.,4,4,4,4,23,23,0
itau.,6,6,6,6,65,65,0
weather.,6,6,6,6,65,65,0
lancaster.,3,3,3,2,62,62,1
nba.,6,6,6,6,65,65,0
attorney.,4,4,4,4,34,34,0
eg.,3,3,3,0,0,0,3
ls.,5,5,5,1,35,35,4
