tld,NumberNSrecords,UniqueARecs,UniqueAAAArecs,AnycastPrefixesArecs,totalAnycastSitesIPv4,totalAnycastSitesIPv4Slash24,totalUnicastIPv4
like.,6,6,6,6,65,65,0
tienda.,4,4,4,4,34,34,0
dance.,4,4,4,4,34,34,0
george.,4,4,4,4,22,22,0
audio.,4,4,4,4,23,23,0
tg.,8,8,8,0,0,0,8
beauty.,4,4,4,4,22,22,0
bs.,4,4,4,2,92,57,1
nico.,4,4,4,4,34,34,0
tiaa.,4,4,4,4,22,22,0
staples.,6,6,6,6,69,69,0
bbt.,4,4,4,4,22,22,0
nab.,4,4,4,4,22,22,0
obi.,4,4,4,4,22,22,0
xn--mix891f.,7,7,7,1,22,22,6
reise.,4,4,4,4,34,34,0
sy.,3,3,3,1,35,35,2
citadel.,6,6,6,6,65,65,0
holiday.,4,4,4,4,34,34,0
amex.,6,6,6,6,65,65,0
rocks.,4,4,4,4,34,34,0
lawyer.,4,4,4,4,34,34,0
kn.,3,3,3,3,49,49,0
theatre.,4,4,4,4,29,29,0
windows.,4,4,4,4,22,22,0
panerai.,6,6,6,6,65,65,0
citi.,6,6,6,6,65,65,0
spreadbetting.,4,4,4,4,22,22,0
alipay.,4,4,4,4,36,36,0
how.,5,5,5,5,26,26,0
gs.,3,3,3,3,50,50,0
jp.,8,8,8,3,17,17,5
xn--wgbh1c.,3,3,3,0,0,0,3
doctor.,4,4,4,4,34,34,0
lotto.,4,4,4,4,36,36,0
read.,6,6,6,6,65,65,0
dtv.,4,4,4,4,35,35,0
duck.,4,4,4,4,22,22,0
tools.,4,4,4,4,34,34,0
fairwinds.,4,4,4,4,22,22,0
boehringer.,4,4,4,4,35,35,0
mini.,4,4,4,2,96,48,0
hotmail.,4,4,4,4,22,22,0
pictet.,4,4,4,4,22,22,0
scholarships.,4,4,4,4,35,35,0
ltd.,4,4,4,4,34,34,0
nrw.,4,4,4,2,18,9,0
qa.,7,7,7,3,54,54,4
salon.,4,4,4,4,34,34,0
bayern.,8,8,8,8,50,50,0
bi.,5,5,5,1,35,35,4
bharti.,4,4,4,4,22,22,0
reit.,4,4,4,4,29,29,0
kuokgroup.,4,4,4,4,22,22,0
krd.,4,4,4,4,34,34,0
xfinity.,8,8,8,8,50,50,0
ee.,5,5,5,2,59,59,3
capital.,4,4,4,4,34,34,0
jot.,6,6,6,6,65,65,0
esurance.,4,4,4,4,34,34,0
stockholm.,4,4,4,4,35,35,0
mattel.,6,6,6,6,65,65,0
xn--kprw13d.,6,6,6,1,3,3,5
tours.,4,4,4,4,34,34,0
jll.,4,4,4,4,35,35,0
jobs.,4,4,4,4,22,22,0
xn--mgbtx2b.,4,4,4,3,53,53,1
xn--5su34j936bgsg.,4,4,4,4,22,22,0
ru.,5,5,5,0,0,0,5
kaufen.,4,4,4,4,34,34,0
cg.,3,3,3,0,0,0,3
blockbuster.,4,4,4,4,34,34,0
dclk.,5,5,5,5,26,26,0
imdb.,6,6,6,6,65,65,0
weatherchannel.,6,6,6,6,65,65,0
istanbul.,4,4,4,4,33,33,0
bg.,6,6,6,1,4,4,5
id.,5,5,5,0,0,0,5
moda.,4,4,4,4,34,34,0
kerryhotels.,4,4,4,4,22,22,0
weibo.,4,4,4,4,35,35,0
yoga.,8,8,8,8,50,50,0
works.,4,4,4,4,34,34,0
ping.,6,6,6,6,69,69,0
airbus.,4,4,4,4,22,22,0
agakhan.,4,4,4,4,33,33,0
med.,4,4,4,4,22,22,0
pro.,6,6,6,6,46,46,0
pe.,4,4,4,3,63,63,1
cricket.,6,6,6,6,65,65,0
hyundai.,4,4,4,4,34,34,0
contact.,4,4,4,4,29,29,0
xn--j1amh.,5,5,5,0,0,0,5
viva.,4,4,4,4,29,29,0
dupont.,6,6,6,6,65,65,0
xn--3bst00m.,9,9,9,2,9,6,6
tirol.,3,3,3,2,10,10,1
pw.,4,4,4,4,29,29,0
sd.,8,8,8,0,0,0,8
aq.,5,5,5,2,14,14,3
cbs.,4,4,4,4,36,36,0
gal.,4,4,4,2,18,9,0
chrome.,5,5,5,5,26,26,0
cuisinella.,4,4,4,4,34,34,0
ci.,7,7,7,0,0,0,7
xn--hxt814e.,9,9,9,2,9,6,6
ggee.,4,4,4,4,34,34,0
newholland.,4,4,4,4,37,37,0
holdings.,4,4,4,4,34,34,0
int.,5,5,5,1,4,4,4
kyoto.,6,6,6,6,48,48,0
barcelona.,4,4,4,2,18,9,0
xn--xhq521b.,5,5,5,4,9,9,1
open.,6,6,6,6,65,65,0
mk.,4,4,4,1,4,4,3
bio.,4,4,4,4,35,35,0
visa.,4,4,4,4,22,22,0
hockey.,4,4,4,4,34,34,0
sina.,4,4,4,4,35,35,0
alibaba.,4,4,4,4,32,32,0
schaeffler.,4,4,4,4,33,33,0
fans.,4,4,4,4,29,29,0
hkt.,4,4,4,4,32,32,0
xn--3oq18vl8pn36a.,4,4,4,4,36,36,0
smile.,6,6,6,6,65,65,0
sv.,6,6,6,0,0,0,6
ag.,6,6,6,6,47,47,0
ferrero.,6,6,6,6,65,65,0
guitars.,4,4,4,4,23,23,0
tunes.,6,6,6,6,65,65,0
icbc.,4,4,4,4,36,36,0
ntt.,4,4,4,1,8,4,2
xn--mgbaam7a8h.,4,4,4,2,41,41,2
forsale.,4,4,4,4,34,34,0
adult.,6,6,6,6,47,47,0
ly.,5,5,5,1,35,35,4
eus.,4,4,4,2,18,9,0
xn--rovu88b.,6,6,6,6,69,69,0
dabur.,4,4,4,4,34,34,0
na.,8,8,8,7,66,66,1
xn--9krt00a.,4,4,4,4,35,35,0
gr.,6,6,6,2,26,26,4
lego.,4,4,4,4,22,22,0
vlaanderen.,5,5,5,1,6,6,4
kindle.,6,6,6,6,65,65,0
bible.,6,6,6,6,69,69,0
xn--xkc2al3hye2a.,8,8,8,2,57,57,6
xn--bck1b9a5dre4c.,6,6,6,6,65,65,0
hiv.,4,4,4,4,23,23,0
tr.,8,8,8,2,16,16,6
xn--o3cw4h.,3,3,3,0,0,0,3
mobi.,6,6,6,6,45,45,0
center.,4,4,4,4,34,34,0
shia.,4,4,4,4,61,61,0
select.,4,4,4,4,34,34,0
xn--6qq986b3xl.,9,9,9,2,9,6,6
farm.,4,4,4,4,34,34,0
markets.,4,4,4,4,22,22,0
goodhands.,4,4,4,4,34,34,0
xn--fiqs8s.,5,5,5,4,12,12,1
properties.,4,4,4,4,34,34,0
ubs.,4,4,4,4,22,22,0
help.,4,4,4,4,23,23,0
agency.,4,4,4,4,34,34,0
cheap.,4,4,4,4,34,34,0
xn--nyqy26a.,6,6,6,6,69,69,0
safe.,6,6,6,6,65,65,0
xn--fct429k.,6,6,6,6,69,69,0
tokyo.,6,6,6,6,48,48,0
hk.,8,8,8,2,59,59,6
firmdale.,2,2,2,2,48,48,0
domains.,4,4,4,4,34,34,0
norton.,4,4,4,4,22,22,0
lidl.,4,4,4,1,10,5,2
youtube.,5,5,5,5,26,26,0
coop.,4,4,4,4,29,29,0
cf.,4,4,4,4,26,26,0
dhl.,4,4,4,1,10,5,2
sap.,4,4,4,2,18,9,0
lv.,5,5,5,1,22,22,4
bd.,4,4,4,1,35,35,3
lplfinancial.,4,4,4,1,10,5,2
play.,5,5,5,5,26,26,0
fujitsu.,4,4,4,4,34,34,0
bradesco.,8,8,8,8,50,50,0
homes.,4,4,4,4,32,32,0
ally.,4,4,4,4,35,35,0
eco.,4,4,4,4,34,34,0
pf.,2,2,2,0,0,0,2
nfl.,6,6,6,6,65,65,0
amsterdam.,5,5,5,0,0,0,5
dentist.,4,4,4,4,34,34,0
xn--q9jyb4c.,5,5,5,5,26,26,0
living.,4,4,4,4,22,22,0
xn--gckr3f0f.,6,6,6,6,69,69,0
nationwide.,4,4,4,4,22,22,0
box.,4,4,4,4,34,34,0
osaka.,6,6,6,6,65,65,0
name.,4,4,4,4,23,23,0
moto.,6,6,6,6,69,69,0
ba.,7,7,7,2,45,45,5
sg.,5,5,5,3,62,62,2
vip.,8,8,8,8,50,50,0
red.,4,4,4,4,35,35,0
oldnavy.,6,6,6,6,65,65,0
us.,6,6,6,6,52,52,0
ice.,4,4,4,4,22,22,0
ch.,8,8,8,4,89,87,3
xn--54b7fta0cc.,3,3,3,1,35,35,2
km.,3,3,3,0,0,0,3
hoteles.,6,6,6,6,69,69,0
msd.,4,4,4,4,22,22,0
np.,7,7,7,1,35,35,6
fit.,8,8,8,8,50,50,0
aero.,6,6,6,6,44,44,0
fiat.,4,4,4,4,33,33,0
xn--fhbei.,4,4,4,4,22,22,0
crs.,4,4,4,4,22,22,0
xin.,4,4,4,4,36,36,0
cologne.,4,4,4,2,18,9,0
bridgestone.,4,4,4,4,34,34,0
nowtv.,4,4,4,4,36,36,0
bcn.,4,4,4,2,18,9,0
abc.,4,4,4,4,22,22,0
nexus.,5,5,5,5,26,26,0
xn--xkc2dl3a5ee0h.,8,8,8,6,46,46,2
xn--mgbi4ecexp.,4,4,4,4,34,34,0
link.,4,4,4,4,23,23,0
wme.,4,4,4,4,29,29,0
kia.,4,4,4,4,34,34,0
af.,3,3,3,3,50,50,0
frontier.,6,6,6,6,65,65,0
chanel.,4,4,4,4,22,22,0
si.,7,7,7,5,95,95,2
luxe.,8,8,8,8,50,50,0
jetzt.,4,4,4,4,34,34,0
wow.,6,6,6,6,69,69,0
orange.,4,4,4,4,22,22,0
xn--vermgensberatung-pwb.,4,4,4,2,96,48,0
rmit.,4,4,4,4,34,34,0
abbvie.,4,4,4,4,35,35,0
world.,4,4,4,4,34,34,0
swatch.,4,4,4,4,22,22,0
kp.,2,2,2,0,0,0,2
mov.,5,5,5,5,26,26,0
direct.,4,4,4,4,34,34,0
maif.,4,4,4,4,22,22,0
fedex.,4,4,4,4,35,35,0
gle.,5,5,5,5,26,26,0
eu.,7,7,7,3,38,38,4
xn--t60b56a.,4,4,4,4,22,22,0
technology.,4,4,4,4,34,34,0
degree.,4,4,4,4,34,34,0
xn--kput3i.,4,4,4,4,34,34,0
csc.,4,4,4,4,22,22,0
by.,7,7,7,0,0,0,7
immobilien.,4,4,4,4,34,34,0
ventures.,4,4,4,4,34,34,0
ec.,4,4,4,2,39,39,2
wine.,4,4,4,4,34,34,0
bw.,5,5,5,1,35,35,4
praxi.,6,6,6,6,65,65,0
xn--node.,5,5,5,5,61,61,0
xn--mgbca7dzdo.,4,4,4,4,34,34,0
vegas.,4,4,4,4,36,36,0
lt.,6,6,6,2,25,25,4
fly.,5,5,5,5,26,26,0
book.,6,6,6,6,65,65,0
ceb.,4,4,4,4,35,35,0
telecity.,8,8,8,8,50,50,0
godaddy.,4,4,4,4,33,33,0
studio.,4,4,4,4,34,34,0
support.,4,4,4,4,34,34,0
meme.,5,5,5,5,26,26,0
tennis.,4,4,4,4,34,34,0
re.,5,5,5,3,66,66,2
ipiranga.,6,6,6,6,65,65,0
cw.,5,5,5,0,0,0,5
xn--vermgensberater-ctb.,4,4,4,2,96,48,0
rs.,7,7,7,3,63,63,4
stc.,4,4,4,4,29,29,0
dm.,4,4,4,1,22,22,3
gea.,4,4,4,4,35,35,0
cy.,8,8,8,2,39,39,6
swiss.,4,4,4,2,18,9,0
haus.,4,4,4,4,34,34,0
be.,6,6,6,2,29,29,4
love.,4,4,4,4,29,29,0
warman.,4,4,4,4,22,22,0
top.,9,9,9,2,9,6,6
xn--pgbs0dh.,6,6,6,1,35,35,5
data.,4,4,4,4,35,35,0
baby.,6,6,6,6,65,65,0
investments.,4,4,4,4,34,34,0
pg.,5,5,5,0,0,0,5
softbank.,4,4,4,4,34,34,0
realtor.,4,4,4,4,22,22,0
florist.,4,4,4,4,34,34,0
chase.,6,6,6,6,65,65,0
aigo.,4,4,4,4,32,32,0
gmbh.,4,4,4,4,34,34,0
bargains.,4,4,4,4,34,34,0
guru.,4,4,4,4,34,34,0
afl.,4,4,4,4,34,34,0
bananarepublic.,6,6,6,6,65,65,0
mckinsey.,4,4,4,4,33,33,0
accountant.,6,6,6,6,65,65,0
aw.,7,7,7,0,0,0,7
py.,6,6,6,2,37,37,4
cards.,4,4,4,4,34,34,0
fj.,6,6,6,0,0,0,6
ck.,4,4,4,0,0,0,4
locus.,8,8,8,8,50,50,0
xn--fiq228c5hs.,4,4,4,3,9,9,1
business.,4,4,4,4,34,34,0
statebank.,4,4,4,4,35,35,0
tab.,4,4,4,4,34,34,0
olayangroup.,4,4,4,4,34,34,0
ist.,4,4,4,4,33,33,0
xn--rhqv96g.,6,6,6,6,65,65,0
game.,4,4,4,4,23,23,0
komatsu.,4,4,4,4,34,34,0
sexy.,4,4,4,4,23,23,0
quest.,4,4,4,4,34,34,0
lease.,4,4,4,4,34,34,0
abb.,4,4,4,4,22,22,0
exchange.,4,4,4,4,34,34,0
docs.,5,5,5,5,26,26,0
mg.,6,6,6,2,15,15,4
one.,4,4,4,4,34,34,0
lamborghini.,4,4,4,4,36,36,0
brussels.,5,5,5,1,6,6,4
cruises.,4,4,4,4,34,34,0
xn--fjq720a.,4,4,4,4,34,34,0
gb.,3,3,3,0,0,0,3
golf.,4,4,4,4,34,34,0
team.,4,4,4,4,34,34,0
deloitte.,4,4,4,1,10,5,2
clubmed.,4,4,4,4,22,22,0
sh.,7,7,7,4,58,58,3
ae.,5,5,5,2,41,41,3
boutique.,4,4,4,4,34,34,0
honda.,4,4,4,4,34,34,0
sz.,3,3,3,0,0,0,3
democrat.,4,4,4,4,34,34,0
bike.,4,4,4,4,34,34,0
quebec.,4,4,4,2,18,9,0
broadway.,8,8,8,8,50,50,0
va.,6,6,6,0,0,0,6
codes.,4,4,4,4,34,34,0
latino.,4,4,4,4,34,34,0
pfizer.,6,6,6,6,65,65,0
surf.,8,8,8,8,50,50,0
ng.,4,4,4,2,57,57,2
rightathome.,4,4,4,4,22,22,0
moe.,6,6,6,6,65,65,0
okinawa.,6,6,6,6,48,48,0
mobily.,6,6,6,6,69,69,0
kfh.,4,4,4,4,29,29,0
netflix.,6,6,6,6,65,65,0
jo.,5,5,5,0,0,0,5
study.,4,4,4,4,34,34,0
xn--mgberp4a5d4ar.,5,5,5,1,35,35,4
stream.,6,6,6,6,69,69,0
institute.,4,4,4,4,34,34,0
xn--kpry57d.,6,6,6,1,3,3,5
yachts.,4,4,4,4,32,32,0
aeg.,4,4,4,4,22,22,0
design.,4,4,4,4,29,29,0
et.,4,4,4,0,0,0,4
tl.,3,3,3,3,50,50,0
lotte.,4,4,4,4,34,34,0
immo.,4,4,4,4,34,34,0
ups.,4,4,4,4,35,35,0
jio.,4,4,4,4,34,34,0
vana.,4,4,4,4,22,22,0
bt.,7,7,7,1,35,35,6
xn--pssy2u.,4,4,4,4,22,22,0
xn--mgb9awbf.,6,6,6,4,34,34,2
discount.,4,4,4,4,34,34,0
fyi.,4,4,4,4,34,34,0
canon.,4,4,4,4,34,34,0
joy.,6,6,6,6,65,65,0
nf.,3,3,3,3,50,50,0
xn--unup4y.,4,4,4,4,34,34,0
lu.,6,6,6,4,90,90,2
fujixerox.,4,4,4,4,22,22,0
nike.,6,6,6,6,65,65,0
hm.,3,3,3,0,0,0,3
lacaixa.,4,4,4,2,18,9,0
travelers.,4,4,4,4,31,31,0
cv.,6,6,6,1,4,4,5
rich.,4,4,4,4,37,37,0
xn--80aswg.,4,4,4,2,18,9,0
xn--55qx5d.,5,5,5,4,13,13,1
icu.,4,4,4,4,34,34,0
cx.,3,3,3,3,50,50,0
bb.,2,2,2,0,0,0,2
uconnect.,4,4,4,4,33,33,0
saarland.,4,4,4,2,96,48,0
ph.,5,5,5,3,56,56,2
io.,7,7,7,4,58,58,3
mz.,6,6,6,1,35,35,5
audi.,4,4,4,4,36,36,0
archi.,4,4,4,4,35,35,0
rip.,4,4,4,4,34,34,0
toys.,4,4,4,4,34,34,0
auspost.,4,4,4,4,34,34,0
fk.,4,4,4,0,0,0,4
fox.,6,6,6,6,65,65,0
xn--3ds443g.,4,4,4,3,9,9,1
cern.,4,4,4,4,33,33,0
xn--45q11c.,9,9,9,2,9,6,6
cfd.,4,4,4,4,22,22,0
diet.,4,4,4,4,23,23,0
tt.,4,4,4,2,39,39,2
lancome.,4,4,4,4,22,22,0
luxury.,4,4,4,4,34,34,0
mh.,2,2,2,0,0,0,2
work.,8,8,8,8,50,50,0
shoes.,4,4,4,4,34,34,0
host.,4,4,4,4,29,29,0
aws.,6,6,6,6,65,65,0
foodnetwork.,4,4,4,4,22,22,0
kerrylogistics.,4,4,4,4,22,22,0
nokia.,4,4,4,4,35,35,0
xn--1ck2e1b.,6,6,6,6,69,69,0
lancia.,4,4,4,4,33,33,0
room.,6,6,6,6,65,65,0
lincoln.,6,6,6,6,65,65,0
seat.,4,4,4,2,18,9,0
tc.,8,8,8,0,0,0,8
store.,4,4,4,4,29,29,0
sandvik.,4,4,4,4,34,34,0
chrysler.,4,4,4,4,33,33,0
delta.,4,4,4,4,33,33,0
gm.,3,3,3,0,0,0,3
nissan.,4,4,4,4,34,34,0
jcb.,4,4,4,4,34,34,0
ad.,6,6,6,0,0,0,6
sk.,4,4,4,1,4,4,3
loan.,6,6,6,6,65,65,0
zip.,5,5,5,5,26,26,0
ford.,6,6,6,6,65,65,0
walter.,4,4,4,4,34,34,0
xn--p1acf.,4,4,4,4,61,61,0
mit.,4,4,4,4,33,33,0
xn--mxtq1m.,4,4,4,0,0,0,4
kred.,6,6,6,6,65,65,0
jcp.,4,4,4,4,34,34,0
xn--yfro4i67o.,5,5,5,3,62,62,2
sbi.,4,4,4,4,35,35,0
frontdoor.,4,4,4,4,22,22,0
bofa.,4,4,4,4,22,22,0
epson.,4,4,4,4,34,34,0
kr.,6,6,6,0,0,0,6
unicom.,6,6,6,6,65,65,0
abogado.,8,8,8,8,50,50,0
mlb.,6,6,6,6,65,65,0
now.,6,6,6,6,69,69,0
tui.,4,4,4,2,96,48,0
dvr.,4,4,4,4,33,33,0
kerryproperties.,4,4,4,4,22,22,0
es.,7,7,7,2,41,41,5
cbre.,6,6,6,6,65,65,0
tm.,7,7,7,4,58,58,3
xn--ogbpf8fl.,3,3,3,1,35,35,2
ryukyu.,6,6,6,6,48,48,0
fund.,4,4,4,4,34,34,0
insure.,4,4,4,4,34,34,0
xn--czrs0t.,4,4,4,4,34,34,0
engineering.,4,4,4,4,34,34,0
xn--8y0a063a.,6,6,6,6,65,65,0
associates.,4,4,4,4,34,34,0
airtel.,4,4,4,4,22,22,0
place.,4,4,4,4,34,34,0
dental.,4,4,4,4,34,34,0
smart.,4,4,4,2,15,15,2
flickr.,6,6,6,6,65,65,0
xn--11b4c3d.,4,4,4,4,22,22,0
goog.,5,5,5,5,26,26,0
rocher.,6,6,6,6,65,65,0
app.,5,5,5,5,26,26,0
aol.,4,4,4,4,22,22,0
spot.,6,6,6,6,69,69,0
xn--kcrx77d1x4a.,4,4,4,4,34,34,0
nyc.,6,6,6,6,65,65,0
ceo.,6,6,6,6,65,65,0
edeka.,4,4,4,4,32,32,0
dunlop.,4,4,4,4,37,37,0
garden.,8,8,8,8,50,50,0
xn--90a3ac.,6,6,6,3,63,63,3
nowruz.,4,4,4,4,61,61,0
helsinki.,4,4,4,4,35,35,0
hn.,3,3,3,2,39,39,1
vacations.,4,4,4,4,34,34,0
blog.,8,8,8,8,50,50,0
williamhill.,6,6,6,6,65,65,0
sas.,6,6,6,6,69,69,0
thd.,4,4,4,4,35,35,0
ftr.,6,6,6,6,65,65,0
in.,7,7,7,5,40,40,2
toray.,4,4,4,4,34,34,0
global.,4,4,4,4,35,35,0
my.,7,7,7,2,26,24,4
soccer.,4,4,4,4,34,34,0
click.,4,4,4,4,23,23,0
omega.,4,4,4,4,22,22,0
coffee.,4,4,4,4,34,34,0
compare.,4,4,4,4,34,34,0
jeep.,4,4,4,4,33,33,0
xerox.,4,4,4,4,22,22,0
boo.,5,5,5,5,26,26,0
axa.,6,6,6,6,65,65,0
news.,4,4,4,4,34,34,0
